currency,COP,label.colPesos,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
currency,USD,label.dollar,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
currency,EUR,label.euro,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/1/2012,1942.7,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/2/2012,1942.7,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/3/2012,1942.7,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/4/2012,1915.02,-1.4454,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/5/2012,1898.24,-0.884,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/6/2012,1884.44,-0.7323,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/7/2012,1884.47,0.0016,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/8/2012,1884.47,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/11/2012,1865.07,-1.0402,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/12/2012,1854.17,-0.5879,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/13/2012,1842.47,-0.635,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/14/2012,1841.31,-0.063,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/15/2012,1841.31,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/16/2012,1841.31,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/17/2012,1841.31,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/18/2012,1836.34,-0.2706,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/19/2012,1827.24,-0.498,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/20/2012,1821.86,-0.2953,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,1/21/2012,1828.75,0.3768,TRUE,,,,,,,,,,,,,,,,,,,,,
