Afghanistan Afghani,Afghanistan,AFN,,1547,,,60b,,,TRUE
Albania Lek,Albania,ALL,Lek,76,101,107,4c,65,6b,TRUE
Argentina Peso,Argentina,ARS,$,36,,,24,,,TRUE
Aruba Guilder,Aruba,AWG,ƒ,402,,,192,,,TRUE
Australia Dollar,Australia,AUD,$,36,,,24,,,TRUE
Azerbaijan New Manat,Azerbaijan,AZN,,1084,1072,1085,43c,430,43d,TRUE
Bahamas Dollar,Bahamas,BSD,$,36,,,24,,,TRUE
Barbados Dollar,Barbados,BBD,$,36,,,24,,,TRUE
Belarus Ruble,Belarus,BYR,p.,112,46,,70,2e,,TRUE
Belize Dollar,Belize,BZD,BZ$,66,90,36,42,5a,24,TRUE
Bermuda Dollar,Bermuda,BMD,$,36,,,24,,,TRUE
Bolivia Boliviano,Bolivia,BOB,$b,36,98,,24,62,,TRUE
Bosnia and Herzegovina Convertible Marka,Bosnia and Herzegovina,BAM,KM,75,77,,4b,4d,,TRUE
Botswana Pula,Botswana,BWP,P,80,,,50,,,TRUE
Brazil Real,Brazil,BRL,R$,82,36,,52,24,,TRUE
Brunei Darussalam Dollar,Brunei Darussalam,BND,$,36,,,24,,,TRUE
Bulgaria Lev,Bulgaria,BGN,,1083,1074,,43b,432,,TRUE
Cambodia Riel,Cambodia,KHR,,6107,,,17db,,,TRUE
Canada Dollar,Canada,CAD,$,36,,,24,,,TRUE
Cayman Islands Dollar,Cayman Islands,KYD,$,36,,,24,,,TRUE
Chile Peso,Chile,CLP,$,36,,,24,,,TRUE
China Yuan Renminbi,China,CNY,¥,165,,,a5,,,TRUE
Colombia Peso,Colombia,COP,$,36,,,24,,,TRUE
Costa Rica Colon,Costa Rica,CRC,,8353,,,20a1,,,TRUE
Croatia Kuna,Croatia,HRK,kn,107,110,,6b,6e,,TRUE
Cuba Peso,Cuba,CUP,,8369,,,20b1,,,TRUE
Czech Republic Koruna,Czech Republic,CZK,K,75,269,,4b,10d,,TRUE
Denmark Krone,Denmark,DKK,kr,107,114,,6b,72,,TRUE
Dominican Republic Peso,Dominican Republic,DOP,RD$,82,68,36,52,44,24,TRUE
East Caribbean Dollar,East Caribbean,XCD,$,36,,,24,,,TRUE
Egypt Pound,Egypt,EGP,£,163,,,a3,,,TRUE
El Salvador Colon,El Salvador,SVC,$,36,,,24,,,TRUE
Estonia Kroon,Estonia,EEK,kr,107,114,,6b,72,,TRUE
Euro Member Countries,France,EUR,€,8364,,,20ac,,,TRUE
Falkland Islands (Malvinas) Pound,Falkland Islands,FKP,£,163,,,a3,,,TRUE
Fiji Dollar,Fiji,FJD,$,36,,,24,,,TRUE
Ghana Cedi,Ghana,GHC,¢,162,,,a2,,,TRUE
